Region,Fold,Model,Penalty,AUROC,CalibrationSlope,CalibrationIntercept
7,1,FL_recal,none,0.7945821185617103,0.9007169736527487,0.03593531367552368
7,2,Local,none,0.8574263038548753,1.305581503177468,0.022177038058259543
7,2,Centralized,none,0.8477891156462585,1.1711143137641316,0.032995254481212946
7,2,FL,none,0.8468577907353417,1.1746470748220246,0.03703663617952338
7,2,FL_recal,none,0.8468577907353417,1.1746470748220248,0.03187344431707733
7,3,Local,none,0.81859410430839,0.9349092280511642,-0.05896964637263018
7,3,Centralized,none,0.8325234855847101,1.0076176789088473,-0.053378466821897286
7,3,FL,none,0.8325234855847101,1.009630405141518,-0.04891818778302207
7,3,FL_recal,none,0.8325234855847101,1.0096304051412155,-0.05408137964544917
7,4,Local,none,0.8259232264334305,0.9440308146711558,-0.04162466626762772
7,4,Centralized,none,0.8114269517330742,0.887871268799087,-0.02475420237716138
7,4,FL,none,0.8105361192095886,0.8911262674994992,-0.020146714422052577
7,4,FL_recal,none,0.8105361192095886,0.8911262674994991,-0.025309906284497252
7,5,Local,none,0.7640347054395626,0.7016469528001829,0.06422285980176541
7,5,Centralized,none,0.7821797868547204,0.780130516258656,0.07109193843841023
7,5,FL,none,0.782219404936413,0.7772385466979888,0.0694819371039649
7,5,FL_recal,none,0.782219404936413,0.7772385466979884,0.0643187452413815
8,1,Local,none,0.8181511470985156,0.9397863998118852,0.03429763359761297
8,1,Centralized,none,0.8217659533449008,1.0694342432340864,-0.2417368632010719
8,1,FL,none,0.8207056101792944,1.0710972434292816,-0.22827804841102292
8,1,FL_recal,none,0.8207056101792944,1.0710972434292731,-0.23524257777200688
8,2,Local,none,0.8144243144243144,0.9233457326231691,0.06898323454973095
8,2,Centralized,none,0.8289278289278289,1.0293950306051693,-0.23383105817517236
8,2,FL,none,0.8294723294723295,1.0377534648994107,-0.2229071901843242
8,2,FL_recal,none,0.8294723294723295,1.03775346489941,-0.2298717195453081
8,3,Local,none,0.8960993960993962,1.1749419453400638,-0.20069023125358834
8,3,Centralized,none,0.9116919116919117,1.3430550991240164,-0.3649344791498549
8,3,FL,none,0.9114444114444115,1.3476464783689117,-0.35652312854557355
8,3,FL_recal,none,0.9114444114444115,1.3476464783689115,-0.36348765790655674
8,4,Local,none,0.8121197489135683,0.9480991662708339,2.187237774950241e-05
8,4,Centralized,none,0.8221632061805891,1.0539738379285384,-0.27485082604741745
8,4,FL,none,0.8212457749879285,1.056869294723117,-0.26182922742265535
8,4,FL_recal,none,0.8212457749879285,1.0568692947231026,-0.26879375678363926
8,5,Local,none,0.7871559633027523,0.7447071234263103,0.16615644995815923
8,5,Centralized,none,0.7833896668276195,0.8470772634990599,-0.15176300056257852
8,5,FL,none,0.7843553838725253,0.8555895235279399,-0.1399652262217826
8,5,FL_recal,none,0.7843553838725253,0.8555895235279399,-0.14692975558276647
9,1,Local,none,0.8078544061302682,0.8902632856545857,0.02650476067966595
9,1,Centralized,none,0.8131800766283525,1.0017818240535898,0.02846954308140068
9,1,FL,none,0.8133716475095786,1.0093878465382968,0.0369096935984835
